"Bitcoin Diamond
(BCD)","1.74
USD" 
"BitcoinZ
(BTCZ)","0.000613
USD"
"Mindexcoin
(MIC)","0.021208
USD"

"Spectiv
(SIG)","0.003606
USD"
"BlockMesh
(BMH)","0.001680
USD"
"Minereum
(MNE)","0.020207
USD"
"Joint Ventures
(JOINT)","0.002118
USD"
"Elite
(1337)","0.000064
USD"
"XMCT
(XMCT)","0.006297
USD"
"Rivetz
(RVT)","0.084444
USD"
"Carebit
(CARE)","0.000898
USD"
"ZeusCrowdfunding
(ZEUS)","0.000001
USD"
"Sphere
(SPHR)","0.535581
USD"
"Paypex
(PAYX)","0.011547
USD"
"CyberMusic
(CYMT)","0.000036
USD"
"RefToken
(REF)","0.892660
USD"
"Ergo
(EFYT)","1.81
USD"
"eBitcoin
(EBTC)","0.046527
USD"
"Octoin Coin
(OCC)","0.299007
USD"
"Bitcrystals
(BCY)","0.027996
USD"
"Zoin
(ZOI)","0.044021
USD"
"Iungo
(ING)","0.011949
USD"
"Castle
(CSTL)","0.037339
USD"
"Smoke
(SMOKE)","0.067852
USD"
"1World
(1WO)","0.097808
USD"
"RouletteToken
(RLT)","0.015893
USD"
"Bigbom
(BBO)","0.001750
USD"
"Relex
(RLX)","0.002585
USD"
"Peerplays
(PPY)","0.742966
USD"
"CJs
(CJS)","41.16
USD"
"Open Trading Network
(OTN)","0.461540
USD"
"Oceanlab
(OCL)","0.008616
USD"
"Bob's Repair
(BOB)","0.032886
USD"
"Canada eCoin
(CDN)","0.003254
USD"
"Xenon
(XNN)","0.001652
USD"
"adbank
(ADB)","0.002976
USD"
"Fujinto
(NTO)","0.000646
USD"
"GoHelpFund
(HELP)","0.025842
USD"
"Bolivarcoin
(BOLI)","0.008155
USD"
"BBSCoin
(BBS)","0.000007
USD"
"Actinium
(ACM)","0.064475
USD"
"Niobium Coin
(NBC)","0.060481
USD"
"Scorum Coins
(SCR)","0.214803
USD"
"Bullion
(CBX)","2.08
USD"
"PyrexCoin
(PYX)","0.060514
USD"
"Coimatic 2.0
(CTIC2)","0.000388
USD"
"Thore Cash
(TCH)","0.004229
USD"
"Mao Zedong
(MAO)","0.052718
USD"
"Musiconomi
(MCI)","0.010595
USD"
"Pigeoncoin
(PGN)","0.000133
USD"
"Chronologic
(DAY)","0.745434
USD"
"AICHAIN
(AIT)","0.002229
USD"
"Fantomcoin
(FCN)","0.202372
USD"
"Innova
(INN)","0.073974
USD"
"Knekted
(KNT)","0.001021
USD"
"Signals Network
(SGN)","0.004687
USD"
"Hurify
(HUR)","0.004413
USD"
"BetterBetting
(BETR)","0.006553
USD"
"Zoomba
(ZBA)","0.010702
USD"
"Quantis Network
(QUAN)","0.090398
USD"
"Gladius Token
(GLA)","0.074332
USD"
"Soniq
(SONIQ)","0.029771
USD"
"PeepCoin
(PCN)","0.000020
USD"
"Invacio
(INV)","0.014676
USD"
"Sharechain
(SSS)","0.000062
USD"
"Universe
(UNI)","0.015937
USD"
"AllSafe
(ASAFE2)","0.016191
USD"
"AmsterdamCoin
(AMS)","0.000775
USD"
"Leadcoin
(LDC)","0.000509
USD"
"Engagement Token
(ENGT)","0.001588
USD"
"GeyserCoin
(GSR)","0.058468
USD"
"FoodCoin
(FOOD)","0.004752
USD"
"Ratecoin
(XRA)","0.001486
USD"
"Golfcoin
(GOLF)","0.000129
USD"
"Jesus Coin
(JC)","0.000011
USD"
"Sexcoin
(SXC)","0.002981
USD"
"Advanced Internet Blocks
(AIB)","0.012842
USD"
"Forty Seven Bank
(FSBT)","0.158892
USD"
"Graphcoin
(GRPH)","0.044220
USD"
"Bridge Protocol
(TOLL)","0.001957
USD"
"Block-Chain.com
(BC)","0.158975
USD"
"Global Cryptocurrency
(GCC)","0.001163
USD"
"Digix Gold Token
(DGX)","42.74
USD"
"Amon
(AMN)","0.001404
USD"
"Aditus
(ADI)","0.001520
USD"
"YoloCash
(YLC)","0.002334
USD"
"Primalbase Token
(PBT)","4518.54
USD"
"Ether Kingdoms Token
(IMP)","0.053271
USD"
"Datarius Credit
(DTRC)","0.000932
USD"
"bitSilver
(BITSILVER)","12.84
USD"
"Webchain
(WEB)","0.003101
USD"
"Trollcoin
(TROLL)","0.000594
USD"
"Evimeria
(EVI)","0.000019
USD"
"CryptoPing
(PING)","0.056199
USD"
"Blockpool
(BPL)","0.038311
USD"
"MIB Coin
(MIB)","0.041864
USD"
"Moin
(MOIN)","0.032023
USD"
"Ethorse
(HORSE)","0.009790
USD"
"Trittium
(TRTT)","0.011693
USD"
"Dinero
(DIN)","0.014018
USD"
"NobleCoin
(NOBL)","0.000323
USD"
"LIFE
(LIFE)","0.000127
USD"
"UltraNote Coin
(XUN)","0.000517
USD"
"EZToken
(EZT)","0.028770
USD"
"Rupaya
(RUPX)","0.010825
USD"
"Giant
(GIC)","0.156219
USD"
"DaTa eXchange
(DTX)","0.014019
USD"
"CryptoCarbon
(CCRB)","0.019834
USD"
"XOVBank
(XOV)","0.003186
USD"
"GET Protocol
(GET)","0.287893
USD"
"TrustPlus
(TRUST)","0.006977
USD"
"Harvest Masternode Coin
(HC)","0.017896
USD"
"Cazcoin
(CAZ)","0.014109
USD"
"Oyster Shell
(SHL)","0.031117
USD"
"Vexanium
(VEX)","0.010589
USD"
"ProCurrency
(PROC)","0.001818
USD"
"Bolenum
(BLN)","0.000064
USD"
"Motocoin
(MOTO)","0.094712
USD"
"BitBar
(BTB)","5.46
USD"
"Plancoin
(PLAN)","0.006461
USD"
"SmileyCoin
(SMLY)","0.000014
USD"
"CannabisCoin
(CANN)","0.014482
USD"
"BLAST
(BLAST)","0.004006
USD"
"REAL
(REAL)","0.148407
USD"
"Vivid Coin
(VIVID)","0.047485
USD"
"TeslaCoin
(TES)","0.013498
USD"
"StarterCoin
(STAC)","0.001204
USD"
"Fastcoin
(FST)","0.001292
USD"
"TokenDesk
(TDS)","0.007654
USD"
"Grid+
(GRID)","0.131456
USD"
"StarCredits
(STRC)","0.084794
USD"
"ClearPoll
(POLL)","0.384962
USD"
"Paymon
(PMNT)","0.000910
USD"
"Cryptonite
(XCN)","0.000685
USD"
"Speed Mining Service
(SMS)","8.87
USD"
"Havy
(HAVY)","0.000017
USD"
"Advanced Technology Coin
(ARC)","0.013155
USD"
"Sociall
(SCL)","0.078306
USD"
"Bitcoinus
(BITS)","0.008069
USD"
"Deutsche eMark
(DEM)","0.005358
USD"
"Honey
(HONEY)","0.141510
USD"
"Biotron
(BTRN)","0.005737
USD"
"Gambit
(GAM)","2.83
USD"
"Emphy
(EPY)","0.025808
USD"
"Bitradio
(BRO)","0.033153
USD"
"SagaCoin
(SAGA)","0.072358
USD"
"GoNetwork
(GOT)","0.052042
USD"
"Dashcoin
(DSH)","0.015790
USD"
"TrezarCoin
(TZC)","0.004903
USD"
"Ellaism
(ELLA)","0.043313
USD"
"BunnyCoin
(BUN)","0.000004
USD"
"Lobstex
(LOBS)","0.015561
USD"
"Sentinel Chain
(SENC)","0.009672
USD"
"UltraCoin
(UTC)","0.006396
USD"
"DeusCoin
(DEUS)","0.005358
USD"
"Niobio Cash
(NBR)","0.002038
USD"
"Breakout
(BRK)","0.038699
USD"
"Tourist Token
(TOTO)","0.000036
USD"
"Pioneer Coin
(PCOIN)","0.009409
USD"
"Unify
(UNIFY)","0.008374
USD"
"HEAT
(HEAT)","0.028092
USD"
"MAZA
(MAZA)","0.000323
USD"
"BTCtalkcoin
(TALK)","0.003090
USD"
"Local World Forwarders
(LWF)","0.009248
USD"
"Woodcoin
(LOG)","0.046581
USD"
"Bitcoin Scrypt
(BTCS)","0.011629
USD"
"Stealth
(XST)","0.103633
USD"
"EtherGem
(EGEM)","0.032087
USD"
"PRiVCY
(PRIV)","0.012763
USD"
"KekCoin
(KEK)","0.059482
USD"
"Vsync
(VSX)","0.002538
USD"
"Commercium
(CMM)","0.005427
USD"
"Tigereum
(TIG)","0.075373
USD"
"REBL
(REBL)","0.008676
USD"
"MCAP
(MCAP)","0.007462
USD"
"Coinlancer
(CL)","0.004119
USD"
"APR Coin
(APR)","0.079197
USD"
"Renos
(RNS)","0.004845
USD"
"Starta
(STA)","0.355331
USD"
"Kolion
(KLN)","0.547048
USD"
"InsaneCoin
(INSN)","0.008164
USD"
"Qwark
(QWARK)","0.016648
USD"
"Phoenixcoin
(PXC)","0.003035
USD"
"Aigang
(AIX)","0.024791
USD"
"UnbreakableCoin
(UNB)","0.109481
USD"
"VoteCoin
(VOT)","0.005996
USD"
"Asiadigicoin
(ADCN)","0.000775
USD"
"CommerceBlock
(CBT)","0.010938
USD"
"PKG Token
(PKG)","0.000027
USD"
"MintCoin
(MINT)","0.000187
USD"
"FairCoin
(FAIR)","0.258423
USD"
"Live Stars
(LIVE)","0.011823
USD"
"OctoCoin
(888)","0.002518
USD"
"Bitswift
(BITS)","0.140905
USD"
"Formosa Financial
(FMF)","0.003794
USD"
"BelugaPay
(BBI)","0.026388
USD"
"Fintab
(FNTB)","0.032432
USD"
"X-Cash
(XCASH)","0.000025
USD"
"WhaleCoin
(WHL)","0.013566
USD"
"Neural Protocol
(NRP)","0.000016
USD"
"XDNA
(XDNA)","0.106594
USD"
"Digitalcoin
(DGC)","0.012210
USD"
"VeriME
(VME)","0.004092
USD"
"BitF
(BITF)","0.026656
USD"
"iTicoin
(ITI)","5.03
USD"
"SecretCoin
(SCRT)","0.021966
USD"
"BriaCoin
(BRIA)","0.284011
USD"
"Waves Community Token
(WCT)","0.299568
USD"
"PopularCoin
(POP)","0.000065
USD"
"ZEST
(ZEST)","0.487926
USD"
"Altcoin
(ALT)","3.45
USD"
"I0Coin
(I0C)","0.019382
USD"
"FundYourselfNow
(FYN)","0.229492
USD"
"Crystal Clear
(CCT)","0.023301
USD"
"GenesisX
(XGS)","0.015618
USD"
"BowsCoin
(BSC)","0.003424
USD"
"Starbase
(STAR)","0.005402
USD"
"Helleniccoin
(HNC)","0.004458
USD"
"Darsek
(KED)","0.006142
USD"
"Adzcoin
(ADZ)","0.007654
USD"
"Voise
(VOISE)","0.001204
USD"
"BuzzCoin
(BUZZ)","0.000063
USD"
"C2C System
(C2C)","0.002972
USD"
"The Cypherfunks
(FUNK)","0.000003
USD"
"Auxilium
(AUX)","0.003202
USD"
"Argentum
(ARG)","0.045095
USD"
"Seal Network
(SEAL)","0.003019
USD"
D"
"Mincoin
(MNC)","0.017953
USD"
"Ecobit
(ECOB)","0.006654
USD"
"VIVO
(VIVO)","0.055224
USD"
"UniCoin
(UNIC)","0.177575
USD"
"DAO.Casino
(BET)","0.026733
USD"
"CoinonatX
(XCXT)","0.003489
USD"
"Wixlar
(WIX)","0.038431
USD"
"Joulecoin
(XJO)","0.004981
USD"
"bitGold
(BITGOLD)","1177.71
USD"
"X8X Token
(X8X)","0.029609
USD"
"INDINODE
(XIND)","0.000162
USD"
"SmartFox
(FOX)","0.339283
USD"
"Gapcoin
(GAP)","0.009755
USD"
"CryptoFlow
(CFL)","0.008901
USD"
"Zenswap Network Token
(ZNT)","0.000034
USD"
"MagicCoin
(MAGE)","0.033014
USD"
"GreenMed
(GRMD)","0.006522
USD"
"Growers International
(GRWI)","0.309461
USD"
"imbrex
(REX)","0.082406
USD"
"Netko
(NETKO)","0.032949
USD"
"iBTC
(IBTC)","0.004929
USD"
"Bitblocks
(BBK)","0.002581
USD"
"Ccore
(CCO)","0.046239
USD"
"TagCoin
(TAG)","0.052460
USD"
"Target Coin
(TGT)","0.000646
USD"
"Benz
(BENZ)","0.002623
USD"
"EcoCoin
(ECO)","0.014989
USD"
"Goodomy
(GOOD)","0.001418
USD"
"Mithril Ore
(MORE)","5.34
USD"
"bitqy
(BQ)","0.000478
USD"
"Mirai
(MRI)","0.053435
USD"
"AsiaCoin
(AC)","0.002132
USD"
"Condensate
(RAIN)","0.001354
USD"
"CryCash
(CRC)","0.085873
USD"
"Hedge
(HDG)","0.486413
USD"
"Wild Crypto
(WILD)","0.004852
USD"
"X-Coin
(XCO)","0.004070
USD"
"SCRIV NETWORK
(SCRIV)","0.001098
USD"
"Debitcoin
(DBTC)","0.003036
USD"
"Fabric Token
(FT)","0.009976
USD"
"Startcoin
(START)","0.004520
USD"
"SHPING
(SHPING)","0.000471
USD"
"Dorado
(DOR)","0.000898
USD"
"Magnet
(MAG)","0.008443
USD"
"Simmitri
(SIM)","0.099886
USD"
"Astro
(ASTRO)","0.377501
USD"
"ShowHand
(HAND)","0.000007
USD"
"Skeincoin
(SKC)","0.020286
USD"
"Onix
(ONX)","0.001486
USD"
"PlatinumBAR
(XPTX)","0.105112
USD"
"BioCoin
(BIO)","0.000777
USD"
"Obsidian
(ODN)","0.004522
USD"
"IrishCoin
(IRL)","0.003747
USD"
"Magi
(XMG)","0.026762
USD"
"Pakcoin
(PAK)","0.001753
USD"
"PluraCoin
(PLURA)","0.000388
USD"
"Lynx
(LYNX)","0.000009
USD"
"Uniform Fiscal Object
(UFO)","0.000267
USD"
"CROAT
(CROAT)","0.003473
USD"
"Synergy
(SNRG)","0.054915
USD"
"Peerguess
(GUESS)","0.001680
USD"
"TEAM (TokenStars)
(TEAM)","0.029021
USD"
"PutinCoin
(PUT)","0.000256
USD"
"AdultChain
(XXX)","0.003658
USD"
"42-coin
(42)","20841.05
USD"
"FundRequest
(FND)","0.008650
USD"
"Jury.Online Token
 (JOT)","0.043932
USD"
"Beetle Coin
(BEET)","0.001942
USD"
"Catcoin
(CAT)","0.008994
USD"
"BitCoin One
(BTCONE)","0.001744
USD"
"808Coin
(808)","3.3e-07
USD"
"BitScreener Token
(BITX)","0.011630
USD"
"Joincoin
(J)","0.029008
USD"
"Freicoin
(FRC)","0.006654
USD"
"WorldCoin
(WDC)","0.005104
USD"
"Accelerator Network
(ACC)","0.176317
USD"
"Megacoin
(MEC)","0.005362
USD"
"Change
(CAG)","0.110695
USD"
"Decentralized Machine Learning
(DML)","0.006784
USD"
"Evil Coin
(EVIL)","0.002584
USD"
"Cannation
(CNNC)","0.010402
USD"
"Datacoin
(DTC)","0.001479
USD"
"ParallelCoin
(DUO)","0.213351
USD"
"TrakInvest
(TRAK)","0.008449
USD"
"Bata
(BTA)","0.035761
USD"
"LiteBar
(LTB)","0.114029
USD"
"Kobocoin
(KOBO)","0.018787
USD"
"ConnectJob
(CJT)","0.001294
USD"
"Quatloo
(QTL)","0.010208
USD"
"RevolverCoin
(XRE)","0.003683
USD"
"Bittwatt
(BWT)","0.037342
USD"
"CHIPS
(CHIPS)","0.068235
USD"
"Tracto
(TRCT)","0.004729
USD"
"Elementrem
(ELE)","0.008399
USD"
"Creditbit
(CRB)","0.004329
USD"
"AceD
(ACED)","0.063425
USD"
"HelloGold
(HGT)","0.003654
USD"
"RussiaCoin
(RC)","0.103369
USD"
"Litecoin Plus
(LCP)","0.059577
USD"
"e-Gulden
(EFL)","0.022045
USD"
"Flaxscript
(FLAX)","0.002843
USD"
"BitStation
(BSTN)","0.000060
USD"
"Linker Coin
(LNC)","0.025069
USD"
"SocialCoin
(SOCC)","0.012534
USD"
"Linfinity
(LFT)","0.035360
USD"
"GCN Coin
(GCN)","0.000004
USD"
"iEthereum
(IETH)","0.012199
USD"
"RedCoin
(RED)","0.000581
USD"
"Staker
(STR)","0.034176
USD"
"WomenCoin
(WOMEN)","0.000008
USD"
"Bettex Coin
(BTXC)","0.131918
USD"
"Swing
(SWING)","0.017874
USD"
"Etheera
(ETA)","0.000016
USD"
"Garlicoin
 (GRLC)","0.003973
USD"
"Safe Trade Coin
(XSTC)","0.000258
USD"
"Quark
(QRK)","0.006913
USD"
"SHADE Token
(SHADE)","0.000300
USD"
"NEVERDIE
(NDC)","0.011104
USD"
"NevaCoin
(NEVA)","0.021320
USD"
"ICO OpenLedger
(ICOO)","0.234711
USD"
"Bitcoin Adult
(BTAD)","0.015330
USD"
"Vice Industry Token
(VIT)","0.003181
USD"
"300 Token
(300)","194.89
USD"
"PayCoin
(XPY)","0.016539
USD"
"FNKOS
(FNKOS)","0.029509
USD"
"Rimbit
(RBT)","0.000646
USD"
"NuShares
(NSR)","0.000129
USD"
"Digital Insurance Token
(DIT)","0.002483
USD"
"Bitether
(BTR)","0.003045
USD"
"Bank Coin
(BANK)","0.019059
USD"
"Elysian
(ELY)","0.002096
USD"
"OBITS
(OBITS)","0.093517
USD"
"Tidex Token
(TDX)","0.025789
USD"
"Opus
(OPT)","0.006135
USD"
"Halcyon
(HAL)","0.022677
USD"
"Steneum Coin
(STN)","0.020018
USD"
"EtherSportz
(ESZ)","0.054213
USD"
"CarTaxi Token
(CTX)","0.002584
USD"
"Neutron
(NTRN)","0.018043
USD"
"Nyerium
(NYEX)","0.001480
USD"
"Cream
(CRM)","0.004006
USD"
"TajCoin
(TAJ)","0.003419
USD"
"FuzzBalls
(FUZZ)","0.006436
USD"
"BlueCoin
(BLU)","0.002003
USD"
"bitBTC
(BITBTC)","6492.37
USD"
"Zayedcoin
(ZYD)","0.003928
USD"
"Tao
(XTO)","0.275802
USD"
"Desire
(DSR)","0.016868
USD"
"bitEUR
(BITEUR)","1.19
USD"
"Ethereum Gold
(ETG)","0.011489
USD"
"Maecenas
(ART)","0.066885
USD"
"Visio
(VISIO)","0.000517
USD"
"STRAKS
(STAK)","0.043595
USD"
"HomeBlockCoin
(HBC)","0.008474
USD"
"StarCash Network
(STARS)","0.010789
USD"
"SoMee.Social
(ONG)","0.016175
USD"
"Cabbage
(CAB)","0.002067
USD"
"Talao
(TALAO)","0.082028
USD"
"Guncoin
(GUN)","0.000853
USD"
"Bitcloud
(BTDX)","0.012598
USD"
"KanadeCoin
(KNDC)","0.000064
USD"
"BrokerNekoNetwork
(BNN)","0.000039
USD"
"DraftCoin
(DFT)","0.020939
USD"
"SIMDAQ
(SMQ)","0.029428
USD"
"Network Token
(NTWK)","0.001185
USD"
"PoSToken
(POS)","0.023323
USD"
"Jin Coin
(JIN)","0.006590
USD"
"Tigercoin
(TGC)","0.002509
USD"
"Shadow Token
(SHDW)","0.012776
USD"
"Titcoin
(TIT)","0.002067
USD"
"FLiK
(FLIK)","0.002907
USD"
"BigUp
(BIGUP)","0.000068
USD"
"Marscoin
(MARS)","0.004458
USD"
"Rialto
(XRL)","0.102230
USD"
"LeaCoin
(LEA)","0.000065
USD"
"Independent Money System
(IMS)","0.005750
USD"
"HOdlcoin
(HODL)","0.001163
USD"
"APX
(APX)","5.28
USD"
"Emerald Crypto
(EMD)","0.007183
USD"
"Zephyr
(ZEPH)","0.008525
USD"
"Darcrus
(DAR)","0.068476
USD"
"Qvolta
(QVT)","0.010268
USD"
"Dreamcoin
(DRM)","0.020089
USD"
"Hackspace Capital
(HAC)","0.002138
USD"
"RonPaulCoin
(RPC)","0.054091
USD"
"Tattoocoin (Standard Edition)
(TSE)","0.003166
USD"
"SecureCoin
(SRC)","0.006239
USD"
"Allion
(ALL)","0.005775
USD"
"Mercury Protocol
(GMT)","0.002277
USD"
"SixEleven
(611)","0.108215
USD"
"BitQuark
(BTQ)","0.001228
USD"
"Machinecoin
(MAC)","0.000455
USD"
"Sovereign Hero
(HERO)","175.20
USD"
"GuccioneCoin
(GCC)","0.002067
USD"
"Bowhead
(AHT)","0.024374
USD"
"PiplCoin
(PIPL)","0.007107
USD"
"Bitcoin Planet
(BTPL)","0.003166
USD"
"FidentiaX
(FDX)","0.010848
USD"
"Printex
(PRTX)","0.009885
USD"
"Bitzeny
(ZNY)","0.004298
USD"
"TittieCoin
(TTC)","0.000194
USD"
"DeltaChain
(DELTA)","0.000019
USD"
"ICOS
(ICOS)","2.65
USD"
"Dragonglass
(DGS)","0.001034
USD"
"Nyancoin
(NYAN)","0.000446
USD"
"Qbic
(QBIC)","0.009233
USD"
"Dalecoin
(DALC)","0.045333
USD"
"IncaKoin
(NKA)","0.000019
USD"
"Bitvolt
(VOLT)","0.000775
USD"
"Sparks
(SPK)","0.014130
USD"
"Sense
(SENSE)","0.006940
USD"
"WELL
(WELL)","0.004108
USD"
"LanaCoin
(LANA)","0.000323
USD"
"JIYO
(JIYOX)","0.003230
USD"
"Money
($$$)","0.000904
USD"
"vSlice
(VSL)","0.007300
USD"
"OFCOIN
(OF)","0.000741
USD"
"Dollar Online
(DOLLAR)","0.006977
USD"
"HitChain
(HIT)","0.000316
USD"
"PoSW Coin
(POSW)","0.021191
USD"
"Eternity
(ENT)","0.010468
USD"
"Philosopher Stones
(PHS)","0.016559
USD"
"FolmCoin
(FLM)","0.006234
USD"
"GlobalToken
(GLT)","0.002132
USD"
"PikcioChain
(PKC)","0.061057
USD"
"TaaS
(TAAS)","0.448995
USD"
"iBank
(IBANK)","0.002137
USD"
"Ties.DB
(TIE)","0.014381
USD"
"ICOBID
(ICOB)","0.000194
USD"
"Prototanium
(PR)","0.631740
USD"
"Signatum
(SIGT)","0.000775
USD"
"ChessCoin
(CHESS)","0.002941
USD"
"Piggycoin
(PIGGY)","0.000579
USD"
"GoldBlocks
(GB)","0.007042
USD"
"PHI Token
(PHI)","0.145861
USD"
"Bionic
(BNC0)","0.000165
USD"
"Zennies
(ZENI)","0.000388
USD"
"MMOCoin
(MMO)","0.004413
USD"
"InvestDigital
(IDT)","0.007766
USD"
"8Bit
(8BIT)","0.117757
USD"
"BumbaCoin
(BUMBA)","0.002132
USD"
"ELTCOIN
(ELTCOIN)","0.001242
USD"
"E-coin
(ECN)","1.95
USD"
"EuropeCoin
(ERC)","0.109747
USD"
"iCoin
(ICN)","0.003871
USD"
"CARAT
(CARAT)","0.989642
USD"
"Truckcoin
(TRK)","0.001230
USD"
"Bitstar
(BITS)","0.009675
USD"
"Litecred
(LTCR)","0.000840
USD"
"Eryllium
(ERY)","0.003084
USD"
"Coimatic 3.0
(CTIC3)","0.001159
USD"
"YouLive Coin
(UC)","0.000639
USD"
"Coin(O)
(CNO)","0.000840
USD"
"StarChain
(STC)","0.005226
USD"
"Triangles
(TRI)","1.29
USD"
"Bitmark
(BTM)","0.028685
USD"
"LatiumX
(LATX)","0.011118
USD"
"WeToken
(WT)","0.003904
USD"
"Kind Ads Token
(KIND)","0.019279
USD"
"GoldPieces
(GP)","0.028750
USD"
"GlassCoin
(GLS)","0.003802
USD"
"PRASM
(PSM)","0.001289
USD"
"Elysium
(ELS)","0.002261
USD"
"Useless Ethereum Token
(UET)","0.013425
USD"
"Help The Homeless Coin
(HTH)","0.000194
USD"
"DACH Coin
(DACH)","0.035985
USD"
"Etheriya
(RIYA)","0.242169
USD"
"ACRE
(ACRE)","0.014924
USD"
"Ether Zero
(ETZ)","0.265712
USD"
"Themis
(GET)","0.005124
USD"
"Gemini Dollar
(GUSD)","1.01
USD"
"YEED
(YEED)","0.001973
USD"
"NetCoin
(NET)","0.000212
USD"
"TOKYO
(TOKC)","0.000581
USD"
"GlobalBoost-Y
(BSTY)","0.003675
USD"
"Loopring [NEO]
(LRN)","0.162053
USD"
"CrevaCoin
(CREVA)","0.000143
USD"
"PureVidz
(VIDZ)","0.001141
USD"
"Bitspace
(BSX)","0.000725
USD"
"ZoZoCoin
(ZZC)","0.070500
USD"
"Rubies
(RBIES)","0.020185
USD"
"ChainCoin
(CHC)","0.001611
USD"
"Kubera Coin
(KBR)","0.000906
USD"
"SURETY
(SURE)","0.008226
USD"
"DigitalDevelopersFund
(DDF)","0.015816
USD"
"WINCOIN
(WC)","0.233597
USD"

USD"
"DigiPulse
(DGPT)","0.017337
USD"
"Dystem
(DTEM)","0.048907
USD"
"Bitcoin 21
(XBTC21)","0.082114
USD"
"Vault Coin
(VLTC)","0.000065
USD"
"Cashcoin
(CASH)","0.002550
USD"
"HyperStake
(HYP)","0.000791
USD"
"Couchain
(COU)","0.000017
USD"
"EagleX
(EGX)","0.003230
USD"
"AnarchistsPrime
(ACP)","0.001034
USD"
"Mainstream For The Underground
(MFTU)","0.000217
USD"
"Luna Coin
(LUNA)","0.005556
USD"
"Numus
(NMS)","0.060729
USD"
"Bit20
(BTWTY)","205,406
USD"
"PLATINCOIN
(PLC)","4.51
USD"
"TEKcoin
(TEK)","0.000062
USD"
"Nitro
(NOX)","0.003069
USD"
"Gossipcoin
(GOSS)","0.000724
USD"
"SpaceCoin
(SPACE)","0.003994
USD"
"Ethereum Cash
(ECASH)","0.009755
USD"
"BOX Token
(BOX)","0.299590
USD"
"GrandCoin
(GDC)","0.000129
USD"
"C-Bit
(XCT)","0.000469
USD"
"Blockchain Quotations Index Token
(BQT)","0.013875
USD"
"vSportCoin
(VSC)","0.003085
USD"
"Blakecoin
(BLC)","0.013596
USD"
"BritCoin
(BRIT)","0.006654
USD"
"FOIN
(FOIN)","675.06
USD"
"Carlive Chain
(IOV)","0.001816
USD"
"Wisepass
(PASS)","0.006185
USD"
"Acoin
(ACOIN)","0.025067
USD"
"Sphre AIR
(XID)","0.035094
USD"
"Bitcurrency
(BTCR)","0.001286
USD"
"FujiCoin
(FJC)","0.000258
USD"
"UralsCoin
(URALS)","0.001292
USD"
"Magnum
(MGM)","0.000386
USD"
"BnrtxCoin
(BNX)","0.000583
USD"
"Filecoin [Futures]
(FIL)","3.70
USD"
"Manna
(MANNA)","0.000969
USD"
"Content and AD Network
(CAN)","0.004979
USD"
"Slevin
(SLEVIN)","0.000064
USD"
"Coin2.1
(C2)","0.001038
USD"
"Bitdeal
(BDL)","0.001190
USD"
"EBCH
(EBCH)","0.025814
USD"
"Mallcoin
(MLC)","0.015927
USD"
"Coin2Play
(C2P)","0.041731
USD"
"Opal
(OPAL)","0.017090
USD"
"Ixcoin
(IXC)","0.020167
USD"
"Alchemint Standards
(SDS)","0.006523
USD"
"Centurion
(CNT)","0.001257
USD"
"Azart
(AZART)","0.015815
USD"
"BitcoiNote
(BTCN)","0.011115
USD"
"Impact
(IMX)","0.000580
USD"
"SmartCoin
(SMC)","0.004502
USD"
"FundToken
(FUNDZ)","0.007506
USD"
"SuperCoin
(SUPER)","0.001486
USD"
"BeeKan
(BKBT)","0.001000
USD"
"Grimcoin
(GRIM)","0.000321
USD"
"SyncFab
(MFG)","0.003213
USD"
"BitUP Token
(BUT)","0.004736
USD"
"Bitcoin W Spectrum
(BWS)","0.001303
USD"
"Nekonium
(NUKO)","0.003359
USD"
"Embers
(MBRS)","0.002455
USD"
"POLY AI
(AI)","0.000109
USD"
"PlayerCoin
(PLACO)","0.000322
USD"
"IPChain
(IPC)","0.178821
USD"
"SOILcoin
(SOIL)","0.005362
USD"
"KEY
(KEY)","0.002185
USD"
"Ultimate Secure Cash
(USC)","0.013526
USD"
"Rocket Pool
(RPL)","0.589494
USD"
"Commerce Data Connection
(CDC)","0.000758
USD"
"Tokugawa
(TOK)","0.078561
USD"
"FirstCoin
(FRST)","0.006938
USD"
"EduCoin
(EDU)","0.000465
USD"
"Maximine Coin
(MXM)","0.004558
USD"
"ThingsOperatingSystem
(TOS)","0.016204
USD"
"PonziCoin
(PONZI)","0.005104
USD"
